Pubchem ID,Chi2v,MaxAbsPartialCharge,MolLogP,BCUT2D_MRHI,Kappa3,SMR_VSA5,TPSA,PEOE_VSA7,VSA_EState4,SlogP_VSA6,BCUT2D_MRLOW,Binding Energy,EState_VSA4
8918,-0.797933038,-0.428175129,0.704486186,-0.491513102,1.063785092,0.231480899,-1.223330129,-1.139585713,-0.379312403,-1.46095281,0.312592138,1.209396439,-0.578312489
9015,-1.287858435,-0.135898794,-0.05810389,-1.35446232,-0.89317537,-1.200985541,-1.172804752,-0.354778987,-0.379312403,-0.304970661,3.003992189,0.853259945,-0.620400072
9473,-0.935045054,-0.46204393,-0.026946627,-0.486994227,-0.809216976,-0.871319026,-0.928172387,-0.643695731,0.14226587,-0.593966198,0.306953151,0.943026538,-0.271601006
9475,-1.160007097,0.113669576,-1.207951443,-0.41641483,-0.387335506,-0.415765998,-0.560264498,-1.139585713,1.614117628,-1.46095281,-1.136836722,0.871103355,-0.175760837
9862,-1.058879809,-1.580062679,0.311687854,-0.259270322,0.278417084,-0.382025773,-1.370909,-0.226068797,0.373080953,-0.906000399,0.430139871,0.90658979,-0.578312489
11469920,-0.520369819,0.1246563,0.45518793,-0.213344408,1.400371381,0.231480899,-1.002201658,-0.329705966,-0.379312403,-0.882042014,-0.449526788,1.244290826,0.576195076
3625947,0.495600083,0.141362645,-0.314870253,0.135317025,0.308395645,-0.290046628,0.344395581,-0.123157268,4.612153742,2.87398025,-0.502376198,-0.177212933,0.065533059
4427709,-0.025904505,0.141362665,-0.413722291,0.052154765,-0.362466287,-0.593692933,0.131581412,-0.101039064,4.689365165,1.435218331,-0.502346122,0.564829432,0.400289883
5280489,1.928801073,-3.180493768,4.440828241,-1.132812435,1.035553298,1.424587026,-1.643841972,3.065897104,6.469686675,4.715398872,2.830351431,1.526627801,-0.980864141
5280934,-0.37813025,0.157246202,1.116316145,-0.535084454,2.073543959,0.532107596,-1.002201658,0.554738897,-0.379312403,0.275779579,-0.489916454,-0.982516367,1.836997422
5281404,-0.788891687,-1.139582124,0.574404612,0.270212026,-0.984708189,-1.032292277,-1.185276206,-0.583870429,2.254104904,0.279236181,6.733021339,0.62774438,0.078962409
5281426,-1.07780104,2.394836528,-0.272591131,-0.214320537,-0.951632028,-1.200985541,-0.792105628,-0.888376068,-0.434420316,0.422860299,-0.306754937,-1.301715149,-0.64317629
5281435,0.147627118,-0.484293327,-0.237378606,0.141637542,-0.199142232,-0.116812393,0.16755676,-0.040364682,0.552546193,0.806773606,0.275647786,0.547016383,-0.282055619
5281544,0.658975626,-0.161611484,-0.875179025,0.107987594,0.125020128,0.181974069,1.58066842,-0.339190092,0.162234917,0.52480235,-0.597263745,-1.048567649,-0.142517915
5281611,-0.572767873,2.395436862,-0.347191898,-0.089325668,-0.796689061,-1.200985541,-0.054690944,-0.635512806,-0.581761221,1.000851374,-0.32001795,-1.527409847,-0.60053492
5282109,-0.842714945,-0.443586073,0.524609203,-1.175045472,0.558827942,-0.382025773,-1.223330129,0.323541718,1.143748896,-0.351047987,0.378271796,0.912892822,-0.175760837
5282136,0.609080281,-0.375788341,-0.056301105,4.806903175,0.400396192,-0.432040692,-0.270862811,0.492807858,0.346029414,1.077950699,-3.474359341,0.497168994,-0.209868852
5282197,-0.036610525,-0.939188937,1.42588122,-1.855366877,1.28389883,0.41242744,-0.996925274,1.735478894,2.612173228,0.758856836,2.584194365,0.304282853,1.783850032
5284649,-0.553823884,2.395436988,0.160318161,-0.04463384,-0.796689061,-1.200985541,-0.14518893,-0.910494271,0.004711644,1.010226531,-0.307320674,0.566590395,-0.60053492
