PT,Chi2v,MaxAbsPartialCharge,VSA_EState7,MolLogP,BCUT2D_MRHI,MolMR,RingCount,TPSA,Kappa3,SlogP_VSA6,PEOE_VSA7,VSA_EState4,Binding Energy,SMR_VSA7,SlogP_VSA3,HeavyAtomMolWt,MinEStateIndex,BCUT2D_LOGPHI,BCUT2D_MRLOW,Kappa2,SMR_VSA5,EState_VSA1,EState_VSA4
4.450961162,4.539228386,0.544731644,2.847523621,2.0657,5.963711134,84.1891,2,102.18,4.101620643,53.53299432,29.8385728,0.644699755,-103.651,59.66749257,0,298.189,-1.37092543,2.26381383,-0.254463067,7.126305041,0,5.969305288,0
5.05111778,6.153997012,0.507384812,7.829761847,3.1063,6.00952655,102.8242,2,107.22,4.679887426,60.24763245,30.72490205,1.199320734,-82.0609,71.37453544,11.21535881,348.225,-0.966355936,2.416472809,-0.11001195,8.420692943,19.44852521,11.85347822,0
5.67481285,6.540699619,0.507040797,12.86703302,4.1054,6.009668871,100.3756,3,75.99,3.420459413,54.17161235,49.80067946,0.912007148,-94.5447,65.29851533,4.794537184,332.226,-0.494686677,2.449153586,-0.110011506,6.594963937,19.44852521,5.601050811,5.57310453
5.441099519,7.115218176,0.507385018,7.726722609,2.9552,6.009528645,109.0982,2,116.45,5.071206151,48.09559224,37.64863925,-0.224428551,-0.3987,59.22249522,15.95222176,376.235,-1.033485566,2.420470831,-0.11001299,8.980206304,31.97331322,17.45452903,0
3.855121737,3.419934454,0.342791819,1.778611111,-0.5043,5.965973806,42.3397,2,49.41,0.90611981,0,19.76538045,0,-6.371,0,9.589074368,156.1,-0.326990741,2.208545203,-0.145964485,2.468405723,31.8490621,0,19.38639965
3.601697594,3.460552348,0.342797498,0,-0.3545,5.962438984,44.3734,1,58.2,1.571153345,0,12.84164325,0,-39.2862,0,9.589074368,156.1,-0.395833333,2.056557925,-0.136903342,3.126689735,32.85489326,6.041840829,0
3.902107162,3.92099948,0.342806523,0.698703704,0.0356,5.960876231,48.9904,1,58.2,2.437431449,0,19.26246487,0,-46.0153,0,9.589074368,168.111,-0.392673847,2.075636352,-0.136207926,3.766719486,39.27571488,6.041840829,0
5.672355036,7.446721276,0.507966607,1.477512784,4.2109,6.03145725,96.4453,4,64.99,2.772249041,30.33183534,44.38530327,2.026239906,-28.4161,47.02218982,6.420821623,332.226,-0.387275132,2.486785455,0.075788576,5.936850048,44.81495647,0,29.71805806
4.728065506,8.335677909,0.549542479,-10.07418771,-1.602,5.886045265,119.9228,4,236.48,5.328025593,45.60989053,24.26546827,-0.770468506,-2.6015,46.62152999,19.06280028,512.25,-1.930045745,2.495779382,-0.305044245,10.54866105,37.1267139,78.34953234,12.13273414
4.887824143,7.935889299,0.507674567,-6.048739206,0.0763,5.797183893,111.3244,4,201.28,3.911702087,39.54352346,24.61992283,-1.026749076,-31.2108,40.55516292,0,440.231,-1.658683865,2.476436175,-0.156728146,8.445613204,30.83668717,71.11700312,24.26546827
5.440691989,7.857958693,0.511414088,3.410113851,3.6254,6.367341897,100.6666,1,91.67,4.580609689,34.63051868,40.03367647,-1.055541897,-32.4528,34.63051868,14.38361155,332.226,-2.421352986,2.393850643,-0.151845693,8.582735656,66.40593888,34.44179623,11.14620906
5.529075247,7.822882113,0.507966251,7.399728752,5.7255,6.11035302,124.0649,2,86.99,6.011904339,53.63973765,64.30879778,3.573316725,-42.6398,75.89354362,12.84164325,392.281,-0.445069444,2.436454094,0.103708064,10.52654065,40.53659204,5.783244946,16.70966055
5.246386304,6.931501468,0.507966251,4.470183625,4.1061,6.107636542,99.1581,3,75.99,3.517246698,36.40785545,50.46132338,1.291885488,-46.7871,53.09820992,6.420821623,332.226,-0.429061558,2.446884627,0.080021891,6.748441258,32.29016846,5.601050811,11.98427311
7.622784844,6.472837168,0.463108547,16.12130494,4.7368,5.783874889,97.8648,0,63.6,17.19791437,12.15204021,32.10410811,0,-89.9066,12.15204021,14.32593732,304.216,-0.86989494,2.097796421,-0.144553811,16.68920161,97.00130026,12.07327168,25.68328649
5.326748637,7.486840351,0.872627125,3.649889013,2.4277,6.259168811,98.0378,1,94.5,4.206768436,34.63051868,40.53659204,-1.237934915,-48.2511,34.63051868,14.38361155,332.226,-2.464843159,2.40389637,-0.33016276,8.582735656,66.40593888,46.11886714,11.14620906
4.486196631,3.48748165,0.381630566,6.170351474,1.3989,6.000073125,47.5737,2,29.1,1.073969413,23.42218406,18.41474778,2.070601852,-4.1666,23.42218406,4.794537184,150.116,0.185416667,2.277978968,-0.117709712,2.774148763,19.76538045,0,25.08343896
4.002222315,3.602067587,0.342797338,0.881694067,0.0356,5.962761327,48.9904,1,58.2,1.994063596,0,12.84164325,0,-26.7711,0,9.589074368,168.111,-0.395549887,2.103824531,-0.137105712,3.766719486,39.27571488,6.041840829,6.420821623
7.463012525,7.365345571,0.463121855,21.82118278,5.4749,5.653835674,112.6216,0,66.76,21.03083635,24.30408043,38.52492974,0,-15.1316,24.30408043,9.531400138,340.249,-0.776043792,2.118719862,-0.144058376,19.6266099,109.5260883,18.17723806,25.68328649
4.218388218,4.880289066,0.444958905,10.68781948,3.3885,5.663546556,89.8258,0,46.53,13.03356206,24.806996,42.75498642,0,-28.5165,24.806996,9.531400138,276.206,-0.818658903,2.049792964,-0.141533841,13.98787351,64.58033691,18.17723806,12.84164325
4.792116651,10.60152164,0.87419193,2.865580436,3.9489,6.320364433,110.608,3,74.27,2.600229785,35.13343425,57.28447903,-1.172841763,-43.6066,35.13343425,14.38361155,364.271,-1.284677816,2.720554953,-0.324065555,6.515306657,67.72862527,34.07354175,11.14620906
5.543694712,10.2286717,0.511253508,6.192581001,7.1269,6.247867909,137.8216,3,83.83,5.501239286,81.87738099,78.5010737,3.055288599,-45.7919,87.44083248,14.32593732,440.325,-1.318545456,2.490684422,-0.137752838,10.50954885,73.32967608,11.51895686,22.28276508
5.096367484,7.280427761,0.507386812,10.02764723,4.3745,6.009524318,112.3254,2,96.22,5.744913806,48.09559224,57.4140197,0.689940631,-67.4843,59.22249522,15.95222176,372.247,-0.423503169,2.420082308,-0.110014628,9.474277723,39.21390566,5.601050811,0
5.017186238,7.801189547,0.511244368,2.266683613,4.6281,6.070115021,108.2686,3,85.22,4.479392096,58.76519206,51.30904047,1.357354382,-64.169,64.32864355,19.00512605,372.247,-0.464575801,2.435730183,-0.111869245,8.330677053,51.73869367,6.103966388,5.563451492
5.266834847,7.054553181,0.507966251,5.120924077,4.3478,6.128059167,106.8714,2,96.22,5.044013049,64.84121216,50.46132338,0.464280818,-72.1558,70.40466365,14.26826309,360.236,-0.489250756,2.315391483,-0.11259168,8.798925857,32.29016846,11.38429576,5.563451492
5.134209281,7.56977299,0.507966607,0.772771954,4.1705,6.030812667,104.4911,3,85.22,3.918475847,30.33183534,44.38530327,1.328206147,-54.6955,47.02218982,11.15768458,360.236,-0.498804196,2.460338903,0.01547009,7.716024628,44.81495647,6.103966388,5.563451492
5.102922997,7.856255133,0.547855937,4.140763414,1.1408,7.992247121,103.2455,2,82.44,4.42224712,37.44264572,12.13273414,1.165841833,-41.6301,48.83050171,16.13383077,372.342,-1.27497798,2.298571673,-0.310404311,9.680727461,18.62843806,18.05298695,5.693927995
3.811233458,3.046658835,0.872360596,2.076847285,1.6496,5.395093205,49.0668,2,56.43,1.712456747,41.01214928,18.19910121,0.694027778,-59.9754,47.91869725,6.420821623,180.118,-0.189171391,2.23036836,-0.26796927,3.456277281,6.420821623,0,5.760247419
4.108125941,4.972316929,0.550171861,23.03880455,4.3258,5.634983138,84.271,0,40.13,16.69,36.45612064,44.94575136,0,-57.8694,36.45612064,4.794537184,248.196,-0.924840005,2.070781731,-0.305341309,15.74652911,71.13195343,5.969305288,44.94575136
1.952879013,1.652936354,0.546679092,0,-4.2581,5.767566077,28.7568,0,94.98,3.33347181,0,0,5.013472222,-4.9183,0,4.794537184,122.063,-1.20287037,1.715117589,-0.305376806,2.907105656,0,5.969305288,0
2.22265729,1.890701723,0.317833962,2.929814815,-0.9347,5.628421827,33.2701,2,75.68,0.539770508,17.44917733,0,0.886574074,-52.1905,23.00844423,0,132.082,-0.25462963,1.885872974,-0.346923776,1.662923452,0,0,0
2.931814138,2.365294325,0.54389731,2.461111111,-3.241,5.684584313,33.2892,0,95.41,4.286691532,0,12.84164325,7.070821995,-13.4877,0,4.794537184,132.078,-1.051794218,1.93679661,-0.438620096,5.196604357,25.3043057,12.01114612,19.38639965
2.155895769,2.296929227,0.543887968,3.403557256,-2.6874,5.68948664,33.9748,1,96.45,2.047487036,12.52416365,0,4.161111111,-2.9287,18.21809164,11.21535881,146.085,-1.139259259,1.928218792,-0.436610374,3.156503765,12.46266245,12.01114612,5.693927995
2.840733669,2.311060841,0.543889689,0.835462963,-1.6071,5.689237497,31.1381,0,67.77,2.463571025,0,6.420821623,3.44625,-8.726,0,4.794537184,118.071,-1.051527778,2.011859282,-0.446865091,3.454517317,26.31013685,12.01114612,6.420821623
1.864867349,2.498639374,0.543897304,1.045972222,-3.38993,5.736666704,40.8339,0,129.67,5.48222978,0,6.420821623,8.376470616,-24.7529,0,4.794537184,160.092,-1.140902778,1.887197666,-0.438098719,5.363379356,18.88348408,12.01114612,0
4.173694499,1.992168659,0.504259895,0,1.40622,5.392761481,34.5086,1,40.46,1.134079495,18.19910121,24.61992283,0.935462963,-7.8316,23.7625527,0,116.075,-0.068888889,2.23372878,0.403155146,1.973221425,6.9237372,0,5.563451492
4.339181937,10.62787112,0.50690696,-15.908523,-1.1566,6.023320368,140.6989,5,234.29,6.083570666,30.33183534,24.61992283,0.373459863,-127.366,41.45873833,14.21058886,576.293,-1.771235463,2.432403344,-0.31825415,12.39375991,80.86030977,85.65538969,6.066367068
5.145208306,10.44473662,0.50690696,-16.08818661,-1.4596,6.023303249,135.8117,5,245.29,5.703168044,30.33183534,24.61992283,0.255188258,-116.213,41.45873833,14.21058886,564.282,-1.781027602,2.431427434,-0.318254152,11.79342986,80.86030977,91.40490153,6.066367068
4.222338331,5.512595801,0.547320714,14.03546889,3.1884,5.688754188,76.7088,0,60.36,13.65948939,0,6.420821623,0,-36.6984,0,4.794537184,240.173,-1.344376851,2.123432609,-0.314770542,13.85229857,96.49838469,12.07327168,19.26246487
3.944224257,4.470805016,0.461230984,-6.244717629,-1.3222,5.785964897,66.2247,2,116.45,2.815092115,24.26546827,12.13273414,0.254129819,-82.8179,29.82891977,4.736862954,268.136,-1.519172808,2.252040495,-0.277083879,6.29334646,30.70589228,37.31277424,0
4.826449543,10.40661137,0.511241031,-14.21804677,-1.6099,6.087808163,135.1162,5,245.29,5.579525796,53.20174056,24.61992283,0.253458348,-80.4554,58.76519206,28.47885195,564.282,-1.777286683,2.411184619,-0.359661215,11.79342986,80.86030977,85.65538969,6.076020107
3.552841969,10.28384079,0.87207382,-5.687057298,1.731,5.650651657,138.9474,6,226.42,4.242891537,54.59730362,58.65200838,-0.00148235,-11.9391,82.41456107,6.420821623,552.318,-1.674402401,2.560801772,-0.27177728,9.716024239,36.75459322,76.32986626,30.33183534
5.333107789,7.798270826,0.511241031,-5.913296503,-0.1587,6.087761726,108.7818,4,175.37,4.283481376,53.20174056,17.69618563,0.475315077,-61.2524,58.76519206,19.00512605,440.231,-1.662184381,2.408426235,-0.28998304,9.04050363,43.23068029,49.19998558,6.076020107
3.820241451,7.3760115,0.869870216,-0.749116063,1.8801,6.063361439,107.0206,4,200.2,3.868056261,59.45416797,23.78185877,-0.002663664,-48.9585,70.58107096,15.95222176,440.231,-1.193494845,2.45155636,-0.270023245,7.786084613,18.6287544,52.70326818,30.35114142
5.109690783,5.698646516,0.506887029,0,3.1602,5.809858441,101.4608,3,96.59,2.922585468,33.47715639,18.19910121,-0.048032336,-42.3264,34.48879585,0,368.212,-0.573831971,2.477674176,0.316533866,7.59419112,0,5.428790392,0
4.806332873,8.918262247,0.871610038,6.287560941,5.276,6.243409744,116.1098,1,77.43,5.587603378,57.61191271,66.3779926,1.528052406,-12.9572,57.61191271,9.589074368,364.271,-1.326237245,2.460365879,-0.29942604,9.906771274,74.65236247,28.65855128,16.71931359
2.206645525,2.932978932,0.393566515,-5.913009259,-2.5673,4.880349821,40.7762,1,99.38,1.984330851,0,0,0,-63.1276,0,9.473725908,180.071,-1.364953704,2.204775417,-0.293910681,4.316641101,30.70589228,37.31277424,0
3.583739042,5.352743773,0.550171861,21.94045719,4.5498,5.63497705,84.365,0,40.13,16.95,24.30408043,44.94575136,0,-74.3347,24.30408043,4.794537184,248.196,-0.920664658,2.072895031,-0.305341381,16.00571031,83.97359667,5.969305288,32.10410811
5.117885475,7.309057749,0.506896829,-2.734204429,-0.3029,6.038567292,105.6206,4,186.37,3.831213465,53.52824884,18.22806032,0.220939289,-38.4529,59.09170033,9.531400138,428.22,-1.67046609,2.424717205,-0.277075879,8.297053169,30.70589228,54.6046959,18.21840728
4.854011581,10.32432055,0.506893135,-15.03488257,-1.0897,5.857738052,143.4184,5,238.2,5.991093244,45.60989053,25.12283841,-0.38069525,-68.1246,46.62152999,14.21058886,576.293,-1.780350689,2.354006118,-0.318246238,12.23675109,68.33552176,79.19696875,12.13273414
3.984053756,5.554632646,0.550171861,18.06556744,3.5206,5.634983478,85.7548,0,60.36,16.85728279,24.30408043,32.10410811,0,-31.1674,24.30408043,4.794537184,264.195,-0.95989977,2.089985538,-0.305342204,15.30171753,83.65674144,5.969305288,38.52492974
3.541350066,5.554632646,0.550171861,18.18716937,3.5206,5.634983794,85.7548,0,60.36,16.85728279,24.30408043,32.10410811,0,-33.8973,24.30408043,4.794537184,264.195,-0.94296096,2.074657111,-0.305342598,15.30171753,83.65674144,5.969305288,51.36657298
4.685953617,10.46135051,0.507678166,-15.99463145,-1.3841,5.880104804,145.0832,5,258.43,5.74258933,39.54352346,25.12283841,-1.11377507,-113.615,40.55516292,14.21058886,592.292,-1.944001875,2.394405165,-0.318293929,12.35203564,68.33552176,96.08221663,12.13273414
3.535427,5.389139286,0.550171861,17.59690831,3.7288,5.892662781,84.755,0,57.2,16.56646729,24.30408043,38.18012822,0,-90.94,24.30408043,9.589074368,264.195,-0.950035387,2.070028842,-0.305347257,15.01735609,77.55277505,5.969305288,57.78739461
4.746904414,5.85424381,0.547320714,17.97734298,3.7446,5.688766818,85.8488,0,60.36,15.37865936,12.15204021,32.10410811,0,-13.5107,12.15204021,4.794537184,264.195,-1.354048671,2.094255592,-0.314770827,15.55679651,96.49838469,12.07327168,32.10410811
4.873316737,10.2836673,0.506893135,-15.44745977,-1.0897,5.857753307,143.4184,5,238.2,5.86361326,45.60989053,25.12283841,-0.413952389,-68.3278,46.62152999,14.21058886,576.293,-1.77098477,2.361359924,-0.354191977,12.23675109,68.33552176,79.19696875,12.13273414
4.366885184,6.15091744,0.550171861,9.195509393,1.6862,5.634983867,88.6284,0,100.82,13.24386779,12.15204021,32.10410811,0,-52.5686,12.15204021,4.794537184,296.193,-1.131727507,2.114538393,-0.305344482,14.66772819,95.86467422,24.28120445,51.36657298
3.990838036,3.079206868,0.504259891,2.218693153,2.2816,5.408596143,51.2856,2,53.6,1.712456747,41.01214928,29.82891977,0.89837963,-35.0518,47.91869725,6.420821623,180.118,-0.103523243,2.254346565,0.402774314,3.456277281,6.420821623,0,11.32369891
